SC #,Bartlett 1939 #,Bartlett 1916 #,Title,Year
66,44,0,Hamlet,1625
252,266,0,1 Henry IV,1632
606,575,389,Love's Labors Lost,1631
894,853,611,Othello,1655
409,427,313,Julius Caesar,1691
1548,1222,884,Troilus and Cressida,1609
1363,1124,806,Romeo and Juliet,1609
241,254,0,1 Henry IV,1622
295,339,0,2 Henry IV,1600
206,222,0,1 Henry IV,1604
259,275,182,1 Henry IV,1639
1209,975,683,Richard II,1598
1261,1025,725,Richard III,1597
1529,1205,874,Titus Andronicus,1611
629,615,420,The Merchant of Venice,1600
1279,1043,740,Richard III,1605
1199,964,673,Richard II,1597
1550,1218,883,Troilus and Cressida,1609
233,249,160,1 Henry IV,1622
1262,1026,726,Richard III,1597
222,237,149,1 Henry IV,1613
649,635,436,The Merchant of Venice,1619
329,370,257,Henry V,1619
650,636,435,The Merchant of Venice,1619
725,712,501,The Merry Wives of Windsor,1619
722,707,497,The Merry Wives of Windsor,1619
829,806,581,Othello,1622
1309,1070,763,Richard III,1629
248,261,172,1 Henry IV,1632
379,404,0,Julius Caesar,1684
1311,1074,0,Richard III,1629
757,735,521,The Merry Wives of Windsor,1630
380,402,270,Julius Caesar,1684
589,581,0,Love's Labors Lost,1631
1484,1177,849,The Taming of a/the Shrew,1631
1486,1179,850,The Taming of a/the Shrew,1631
250,264,174,1 Henry IV,1632
1331,1093,780,Richard III,1634
83,60,50,Hamlet,1637
526,548,369,King Lear,1655
883,862,620,Othello,1655
266,281,186,1 Henry IV,1639
109,85,79,Hamlet,1676
152,123,0,Hamlet,1683
906,881,0,Othello,1681
436,458,302,Julius Caesar,1695
180,146,0,Hamlet,1695
963,922,650,Othello,1695
961,923,0,Othello,1695
400,417,305,Julius Caesar,1691
1223,997,703,Richard II,1615
1375,1136,815,Romeo and Juliet,1623
1305,1080,767,Richard III,1629
755,740,524,The Merry Wives of Windsor,1630
1327,1100,784,Richard III,1634
28,1,1,Hamlet,1603
331,371,0,Henry V,1619
90,54,42,Hamlet,1637
513,536,353,King Lear,1619
790,756,538,A Midsummer Night's Dream,1619
620,602,409,Macbeth,1673
511,539,356,King Lear,1619
487,512,334,King Lear,1619
623,606,414,The Merchant of Venice,1600
644,627,430,The Merchant of Venice,1619
1296,1055,745,Richard III,1612
319,391,264,Henry V,1619
731,723,0,The Merry Wives of Windsor,1619
231,246,157,1 Henry IV,1622
270,293,0,1 Henry IV,1639
346,380,243,Henry V,1619
496,519,340,King Lear,1619
265,252,163,1 Henry IV,1639
314,357,238,Henry V,1619
316,358,239,Henry V,1619
336,362,242,Henry V,1619
341,356,237,Henry V,1619
656,646,0,The Merchant of Venice,1619
642,626,429,The Merchant of Venice,1619
327,372,250,Henry V,1619
716,699,489,The Merry Wives of Windsor,1619
775,752,535,A Midsummer Night's Dream,1619
871,841,0,Othello,1630
785,760,0,A Midsummer Night's Dream,1619
278,288,187,1 Henry IV,1639
897,870,0,Othello,1655
978,937,652,Othello,1695
279,289,188,1 Henry IV,1639
1319,1079,0,Richard III,1629
72,43,32,Hamlet,1625
1497,1185,853,The Taming of a/the Shrew,1631
955,915,650,Othello,1695
914.3,874,0,Othello,1681
1382,1139,819,Romeo and Juliet,1637
33,6,6,Hamlet,1605
1526,1192,863,Titus Andronicus,1611
734,721,505,The Merry Wives of Windsor,1619
1385,1163,835,Romeo and Juliet,1637
1396,1155,830,Romeo and Juliet,1637
1395,1153,836,Romeo and Juliet,1637
1408,1145,824,Romeo and Juliet,1637
1403,1164,0,Romeo and Juliet,1637
625,607,416,The Merchant of Venice,1600
631,617,413,The Merchant of Venice,1600
